id,image,thumbnail,year_from,year_to,person,clothing,caption,description,source
158,familyClothing4.png,familyClothing4_thumb.png,1840,1850,family,costume,"An engaged couple wears elegant wedding clothes in a Scottish calotype, ca.: Mid 1844s.","Mr. Gallie and Miss Munro stand unmoving for the calotypist showing their handsome clothing. He has a striking, silk, plaid vest, cut on the bias and double breasted under his snugly tailored frock coat. As is fashionable, he wears lighter trousers. He also has dark glasses (perhaps for fragile vision) and carries a fashionable walking stick. His jawline beard is trimmed to be narrow. Miss Munro, in a pale plaid silk, has all sorts of shirring, lace trimming, and a broach on the bodice of her long gown. Her stole seems to be a dark color with a light silk lining, pink or pale green being popular colors of this period. Her ringlets are made of her own hair with the help of her personal maid.","Calotypes, early photos using only the sun for lighting, are seen in many books and museums charting the history of photography. They were originated by David BruceandDavid Octavius Hill, ca.: 1840s. An excellent collection is in a volume by New York Graphic Society; Sun pictures; The Hill-Adamson calotypes(First Edition edition,1974)."
159,familyClothing5.png,familyClothing5_thumb.png,1840,1850,family,costume,"Portraits of an African-American abolitionist couple of 1843, NancyandWilliam Lawson.1843","Portraits of an African-American abolitionist couple of 1843, NancyandWilliam Lawson. Nancy wears a dark green wool dress with full lower sleeves and a low white collar of V-shaped, fagotted edge. A white modesty piece across her neckline has a ribbon woven through the top edge, and holds a little gold broach. A black ribbon around her neck has another tiny jewel where it crosses. Small caplets are at the top of her sleeves, and white cuffs show at the wrists. Lighter buttons for her dark dress are above the diagonal darts of the front bodice, and also on the caplets of her sleeves. Her day cap is definitely an 1840s a flat section on top and larger ruffles on the sides. The day cap has pale, sheer ribbons hanging. In the background is a large, painted ""drape of honor"" with silk cords.In every way their dress denotes great comfort and beauty. William wears a black dress coat, with a fairly high-necked vest. A gold chain around his neck for a flat watch seems to be tucked into an upper welt pocket on his vest. He wears very short curly hair and a neatly shaved and trimmed jaw-line beard from his side burns. He was called Reverend, as a courtesy title for his Millerite oratory supporting the Second Coming--expected in 1843 or 44. But he became entangled in The Great Disappointment. Professionally, Lawson was a used clothing dealer in Boston.","Portraitsby William Matthew Prior (1843).PERMISSIONS 86//  .Shelburne Museum,   Mailing address:  Shelburne Museum P.O. Box 10 Shelburne, VT 05482 Phone: (802) 985-3346 Email: curators@shelburnemuseum.org"
160,familyClothing6.png,familyClothing6_thumb.png,1840,1850,family,costume,Woman in a plaid dress and man in a black suit of the 1840s to 50s.,"A young woman gazes at a handsome, casually leaning man. She wears a fashionable silk plaid dress with a matching capelet. Ringlets fall from behind her ears. His coat has 1840s narrow sleeves, wider lapels, and a barely turned down shirt collar for greater comfort. A patterned cravat is tied with ends tucked beneath his white vest. A combed-back pouf of hair tops his head.","by Nathaniel C. Jacuith, Rinhart Collection, Ohio State University, Columbus, from The American Daguerreotype. Portrait c. 1848."
161,familyClothing8.png,familyClothing8_thumb.png,1840,1850,family,costume,"Baby clothes worn by little Joseph Wilford, with mother, Phebe Carter Woodruff. Ca.: 1842.","Baby clothes for first born son of Phebe and Wilfred Woodruff, a 1-year-old. He holds a woolen yarn nosegay with knots to chew on for teething. He wears the usual dainty white dress with a red ribbon around the high waist over a full length petticoat. A necklace of tiny beads of coral around the baby's neck was supposed, in that era, to be a protection from disease. Thus there are hundreds of baby and child pictures in fine portraits or folk arts in America that include coral necklaces.  Phebe has a lovely, expensive day-cap with scalloped white needlework on sheer, over loops of satin ribbon. It is tied with a 2 inch wide silk ribbon. Her collar is a series of slight gathers of narrow lace circled on batiste about 4 inches wide on her small shoulders over the high-necked black dress. On her bosom is a white shell or ivory carved broach in a gold horizontal oval. With her arm around the baby we can see her ruby and gold ring, (photo elsewhere). The shawl on her lap is a soft, gold, merino, wool with ""serpentine"" flowers in lines across it and a bit of mixed red fringe barely included in the painting.  Coming from a family of means, she was not poor when Wilford Woodruff first encountered her in Kirtland as he walked into the town for the first time. He heard her cultivated voice singing through an open window and had a romantic premonition he should marry her, which he soon did. Wilford gave her the ring at their marriage.","This oil painting by Joseph Campbell is an excellent folk painting which does not flatter her looks, but does honor to mother and son. LDS Museum of Church History and Art in Salt Lake City."
162,familyClothing9.png,familyClothing9_thumb.png,1840,1850,family,costume,"Alexander Hale Smith age 4, with his mother, Emma Hale Smith, in a mourning dress. Ca.: 1848.","Little Alexander wears a typically strong, pink, checkered dress over trousers of pale blue. He has a double ruffled collar and carries a little red leather wallet. Both he and his mother are in flat black slippers with white stockings.  Emma wears an out of date, black, mourning dress with voluminous sleeves and sleeve caps, worn for years without alteration because of so many successive deaths in the Smith family. The sleeve style is from 15 years previous. On her shoulders is an elegantly embroidered collar which could be smaller for the 1840s. Around her neck is a ribbon attached to the pocket watch in her front bodice pocket or waistband. A handkerchief shows she is still grieving for her husband, Joseph. Her hair is in a large bun surrounded by braids.","Sutcliff Maudsley painted Emma and Alexander as if outdoors by the corral, in a very folk-art style. This painting and the actual little red wallet of Alexander's, were last owned (to our knowledge) by a private collector ca. 2005. Permission to use was granted on a trade of information with Carma."
163,familyHat1.png,familyHat1_thumb.png,1840,1850,family,costume,"Folk art of a woman in best bonnet, dress of printed stripes and a valuable shawl, observed by Native Americans. Ca.: 1844.","This extract from the folk art painting, Joseph Smith Preaching in the Nauvoo Grove, shows many levels of society gathered to hear The Prophet preach, including curious Native Americans next to the woman, who sits listening in her open carriage. The folk artist painted an indistinct crowd scene (shown elsewhere), with a few people standing out in detail. This is one. Featured figures were painted with attentive care by the original artist, even if the headdresses and faces were inaccurate.",LDS Church Archives. Extract drawn by Carma. Free use.
164,FancyCottonStockingsDenmark.png,FancyCottonStockingsDenmark_thumb.png,1830,1850,family,garment,"Fancy cotton stockings, knitted in Hellum, Aalborg, Denmark.","We see clever horizontal perforations knitted into the stockings, as well as decorations at the top. These were for females, often younger girls. They would be held up with fancy colored tape tied around the leg as garters.","Aalborg Historical Museum,. ???? historiskmuseum@aalborg.dk Email to use pix of stockings: #13392 Email sent July 5, 17."
165,farmerStraw.png,farmerStraw_thumb.png,1850,1860,men,costume,American farmer cuts his straw with a multi-pronged cradle scythe. 1850-60s,"This farmer, wearing a vest and shirt, breeches and boots, swings a cradle scythe into his lat crop of straw. The extra prongs gather the straw as it is cut to deposit it in a swath. At the end of the cutting stroke, a farmer tilts the cradle to drop the straw in a pile. A horse and wagon with farm helpers are also in background to carry the straw piles into a giant stack.",": Missouri Historical Review Oct. 2007 State Historical Society of Missouri, Columbia, Missouri"
166,FaroeIslandsCostumes.png,FaroeIslandsCostumes_thumb.png,1800,1900,family,costume,"Faroe Islands Costumes, Denmark","In many regions of Denmark, men wear red, double-breasted vests, with buttons from neck to lower waistline. The fronts are made of woven red wool, which is sometimes in stripes of black, red and white. This old man and youth wear white shirts with a narrow collar and a black tie beneath. Their hats are knitted and flopped over on top. Usually these knitted caps are red, but the older gentleman has fancy blue knitted designs on white. The breeches we cannot see are either black or white, with white knitted stockings and black shoes. Stockings are held up to their knees with strips of fancy woven garters, knotted and hanging at the sides. This type of costume is worn extensively by men in the different provinces. The woman at right wears a plain white kerchief over her head wears a lovely white shawl, probably embroidered in bright colors. Her apron over her black or red skirt is blue and white checkered, with ties wrapped forward to make a bow in front. It may be a Church holiday or day of independence.",internet address httpwww.bing.comimagessearchq= danish+folk+costumes+images &view=detailv2&qpvt=danish+ folk+costumes+images&id= 57F6EEBAB0A54B565E22214A700795AC9735B802 &selectedIndex=18&ccid= Vwx8suDF&simid=6080
167,farrier.png,farrier_thumb.png,1840,1850,men,costume,The Farrier who puts shoes on horses was a much needed man in the 1800s and for many centuries before.,"A blacksmith who shapes and attaches horseshoes must wear a leather apron to protect from the heat and sparks of his forge and hammering. Usually the apron ties around both waist and neck, but this mans neck strap seems to have broken. Cleverly, he hooks one of the strap holes onto a vest button until he has time to repair it. His shirtsleeves are rolled up, but he still wears a proper vest and neck kerchief. Going without a vest and neckwear was tantamount to working in ones underwear, since the shirt was often a nightgown as well. In a hot forge he could do without a hat.","W. H. Pyne, ""Microcosm."" Free use."
168,FashionDoll.png,FashionDoll_thumb.png,1800,1810,women,costume,Fashion doll dressed in a short gown. 1700s to 1800s,"A short gown is a thigh-length top worn over a chemise and skirt. A short working dress, it has no fastenings, but overlaps in the front, and is tied in place by an apron or sash. It may be of many types of fabric, and have long or short sleeves. This doll from Britain, has a striped short gown, painted face, heavy novelty wool clothing, and is carrying wool for spinning. From Platt Hall, Manchester, England drawn by Carma",Drawing by Carma from the early 1800s
169,feltKnitHats.png,feltKnitHats_thumb.png,1800,1800,men,garment,Four men's hats of felt and knit.,"Four men's hats of felt and knit are seen in CD Fig# ?.A long, black wool, knitted Phrygian cap with red and gold horizontal stripes, is much seen in folk paintings. It would be worn with the top flopped over. The black pilot cap of fine wool twill was made by Jeannette Woolf for her re-enactor husband, John. The gray wool felt hat is unfinished and retains a soft point on the crown. A beige, wool felt hat is shown with the beginnings of shaping on a brim. Both felt hats, left unfinished, were cheaply made for the very poor to buy.",Assembled by Carma. Photo by Joseph R. Putnam
170,fingerlessGlove2.png,fingerlessGlove2_thumb.png,1800,1890,women,costume,Fingerless gloves made of a tiny crochet reach only to the wrist bone.,"Fingerless gloves made of a tiny crochet reach only to the wrist bone. In CD Fig ? ,modern Chinese-made gloves, typical of the 1800s in Europe and America, are modeled next to a silk taffeta skirt in a large plaid from the 1850 to1868.","Carmas collection, modeled by Carol Anderson- Anderson"
171,fingerlessGloves1.png,fingerlessGloves1_thumb.png,1800,1810,women,costume,"Gloves: fingerless, crocheted, modern reproduction of historic design.","a row of solid dots around the wrist to make a charming border, with only simple decors on the back of the hand. This was a boon to those who wanted to appear beautifully dressed in public, but had aging, spotted or reddened hands.",From Carmas collection of reproductions for her historic fashion shows
172,FinnishCandyBox.png,FinnishCandyBox_thumb.png,1800,1900,child,costume,Smock on little boy on a Finnish candy box.,The smock goes over trousers which come just below his knees and shows red stockings. Smocks were used all over the western world on males of all ages in the 1800s. Could be worn anywhere in Scandinavia.,This image comes from a tiny Finnish candy box from decades ago.
173,FisherLassies.png,FisherLassies_thumb.png,1800,1810,women,costume,Fisher Lassies dressed for cold Scottish winds on the coastline.,"They have white warm scarves around their windy hair, bright colored stripes on layers of petticoats covered byblack wool coats without their arms inside. They have to handle heavy creels hanging on their back shoulders full of many pounds of fish bought directly from the fishing boats. Hauling the fish to market in town is each girl's heavy job, trudging in their black shoes and stockings.","David Bruce, Sun Pictures: The Hill-Adamson Calotypes(New York Graphic Society Ltd. Greenwich, Connecticut; 1st edition 1974"
174,flatshoe.png,flatshoe_thumb.png,1830,1870,women,costume,"Flat shoes were worn by all women, but this has an improvement of a tightening buckle strap.",Lightweight leather flat shoe with tiny buckle cinch and squared toes.,Drawn by Carma
175,flatSlipper.png,flatSlipper_thumb.png,1800,1860,women,costume,"Flat slipper of colored, soft, child leather or silk satin. Little loops sewn inside the top edge carry narrow ribbons criss-crossing on up the lower calf.","This delicate slipper was worn for best by young women and girls over opaque pale silk or cotton stockings. Sometimes the females wore linen pantalets almost to the ankles, but such leg coverings became fairly lost under larger and longer skirts for women in the 1850s.","Laced up ribbons drawn by Carma after Eunice Wilson, A History of Shoe Fashions (London, Pitman Publishing Co, 1974)."
176,flowerGarland.png,flowerGarland_thumb.png,1800,1875,women,costume,Flower garland attached to a comb for a very formal occasion such as a dinner or ball.,"""Artificials"" were often made when women got together socially to sew or create decorations for their clothing. They called flowers ""artificials"" in their journals and made them from many different scraps of silk, with sewing and fine wires often holding flowers tightly at the base. Some were quite realistic, as these roses, and some were quite simple, depending on a woman's skill. Such items could be purchased in larger stores. This particular comb has a wide extension beside the teeth to hold the garland out on each side of the head so the flowers could hang evenly behind her ears. This is for those of higher social status."," Louis A.Godey, Godey's Lady's Book and Magazine, (Philadelphia, Louis A. Godey, publisher, 1840).Original copies held at Brigham Young University's Harold B. Lee Library, Special Collections.  "
177,FolkBetgwnInRedStripedWool.png,FolkBetgwnInRedStripedWool_thumb.png,1800,1810,women,costume,Folk betgwn in red striped wool with dark green apron.,A flowered kerchief covers her neck. The tall black felt hat is worn over a ruffled white daycap with lappets. Forearms are Warmed by black gloves.,"Original in the National Gallery of Wales, modified by Ken Etheridge in Welsh Costume in the 18th and 19th Century."
178,FolkSkirtInAProvinceOfSweden.png,FolkSkirtInAProvinceOfSweden_thumb.png,1800,1900,women,garment,Folk skirt of red wool in a province of Sweden.,"Cartridge pleating reproduced with a cotton waistband in this skirt from Bleckinge, sewn in cartridge pleats: four strong threads knotted as gathered in and then a red cotton waistband is sewn on by hand.",Made byCarma.
179,franklin.png,franklin_thumb.png,1840,1850,men,costume,"Franklin D. Richards, an early apostle of the LDS Church, wears best coat, vest and tie. Ca.: 1853.","Franklin is wearing 1849 clothing with a small M-cut on his collar where it meets the lapel. His coat is very fine lightweight worsted which can be tailored very precisely. His vest may have a rounded shawl collar, and has properly smaller buttons than those on his double breasted coat. The front yoke of his shirt shows flat pleats with two tiny pearl studs, and his collar is partly turned down. A dark colored tie is a plain bow knot. He has more hair than his famous brothers, and long sideburns, neatly clipped. The Richards family were of wealthy stock in the Eastern United States, many of the younger members converted to the LDS Church. Franklin lived until 1899 with three generations of relatives around him as Mormon leaders.","Fredrick Piercy engravings, 1852. All Richards brothers' portraits by Piercy are courtesy of Maurine Ward from article, ""Mormon Historical Studies"" by L. Matthew Chatterly. Free use."
180,FrederickBuchanan.png,FrederickBuchanan_thumb.png,1850,1900,men,costume,"Scottish garb worn recently by aged Frederick Buchanan, a valiant LDS convert born in Scotland.","Buchanan's plaid is of his family's clan, and he also wears a moderate leather sporran in front with leather tassels. His black belt has a pewter buckle. Red tapes are used as knotted garters under his stockings which are folded over at the knees. A warm blue wool tam o'shanter keeps his balding head comfortable. His T-shirt is hardly folk clothing!","Because of Buchanan's great sense of humor, he sent Carma this picture of his strong crooked staff to match his great age. His clothing is accurate except for the T-shirt."
181,FrederickGranger.png,FrederickGranger_thumb.png,1830,1840,men,costume,Frederick Granger Williams in late 1830s clothing.,"This early painting shows Williams with a well-shaven face and moderate sideburns. His high-padded collar and gathered sleeves indicate that the painting was done in the 1830s, before his conversion. His tie is a 5 ft. long and 5 inches wide of white lightweight silk wrapped many times around his neck, holding up his starched collar. Tie ends are folded over each other in front and tucked into his vest. He became a counselor in the First Presidency of the LDS Church in 1833.  Williams was originally a ship pilot for Commodore Perry on Lake Erie in the Great Lakes. Missionaries found him, and he and his wife joined the LDS Church. Deeply involved in its growth, Williams was generous with all his financial means to the Prophet Joseph Smith and his work, helping to pay off the Kirtland Temple construction so desperately needed. He was much loved by Joseph Smith for his generosity allowing the Saints to advance spiritually in that glorious temple. Williams 'partial training as a doctor was very much needed in that group of Mormon people. After Ohio, he continued learning at every opportunity while serving patients and saving many lives. He loved the gospel and was a devout preacher in his missionary work.","This painting by an unknown artist is owned today by the F.G. Williams family of Provo, Utah. Photo by Carma; free use."
182,FredrickaKarlsdotter.png,FredrickaKarlsdotter_thumb.png,1860,1870,women,costume,"Fredricka Karlsdotter, in the 1860s, a girl of high social status from the Kalmar coast in Sweden.","This well coifed young woman was raised with much grace and education and talent. She wears a beautiful crown of braids from her long hair. She has good sized drop earrings of silver, and her brooch could be carved flowers from coral. A clean white collar and bow are at her neckline. Fredricka's dress seems to be a light-weight wool with gathers reaching forward from the far-back shoulder seams, and buttons on the front placket. She lived near Kalmar where humbly-born Karl August Anderson was working. Through his attention s to her she discovered and joined the Church of Jesus Christ of Latter-day Saints. from the young man She fell in love with, sweet, handsome Karl, and they married before embarking on a ship to America.. Fredrika lived to an old age in southern Utah.",Family photo in possession of Carma and Richard L. Anderson.
183,FrenchHeelblackLeatherShoe.png,FrenchHeelblackLeatherShoe_thumb.png,1800,1840,women,garment,A black leather shoe with pointed toe has a small stacked leather French heel for woman of some wealth.,"This shoe would be worn over fine opaque silk stockings with a modified folk costume or European international style dress. This photocopy of a much worn-out shoe is from the Historical Museum of Alborg, Hjorring, Denmark.",Source unknown.
184,FriendlyBehaviorOfMrBucket.png,FriendlyBehaviorOfMrBucket_thumb.png,1840,1850,family,costume,"A comfortable family at home, Friendly behavior of Mr. Bucket. 1840s","Two gentlemen are seated by a home hearth, smoking very long pipes in comfort, Their artist(exaggerated) narrow trousers are strapped under the shoes, and a third man by the table has a little child on each knee, with his coat buttoned up to the shawl collar. His dark, encompassing silk scarf is tucked in to his vest. All the men have considerable sideburns. The father on the right has extra-full side burns. Both child have all-over aprons on striped dresses, and we can see one ""Mary Jane"" strapped black shoe. The Hostess stands in her shoulder shawl over a short sleeved dress, with a large white apron tied around her waist. Her day cap with ample ruffles ties under her chin by narrow ribbons. The length of her full skirt is only 4 inches off the floor. She is knitting a stocking during her entrance. In front is a little boy with a very short haircut, slim trousers and a waistcoat only down to his belt. His waistcoat is older-style English, with sleeves in it. He sits on a short stool trying to play a small flute.",George Cruikshank illustrated this ink a drawing for Charles Dickens.
185,gaiters.png,gaiters_thumb.png,1810,1840,men,costume,English merchant in gaiters traveling toward the area of Ely Cathedral,"A man wears gaiters over his shoes with many buttons reaching up to his buttoned knee breeches. He carries a walking stick and rests a few moments against a mile marker. Breeches and gaiters were especially typical of British clothing of the period, but Americans gave them up for trousers sooner than Britain did.","William Johnstone White, edited by Pamela Clabborn, Working Class Costume from Sketches of Characters, (London, Daedalus Press for Victoria and Albert Museum, by Costume Society, c.o. Department of Textiles. 1977.)"
186,gardener.png,gardener_thumb.png,1840,1850,family,costume,"Gardener with his child, 1840 to 1860.","This American gardener wears heavy shoes and long trousers to protect his legs. Various shirts and sweaters warm his torso, with a kerchief tied around his neck. His coat is shapeless and shabby over a long apron which covers from chest to his shins. A single-billed cloth cap has a tied-up flap over chopped of hair. He smiles below his mustache. A gardener could wear anything he had, but saved his best clothes for Sunday Church. In one hand is a wooden rake with wooden pegs for tines, and a large watering a can in the other. His little girl holds a potted plant to help. She wears a full-sleeved dress and an all-over apron tied in back.",SOURCE has been lost.
187,georgeClothing.png,georgeClothing_thumb.png,1840,1850,men,costume,"George A. Smith in Nauvoo wears coat with matching trousers, 1844,","Under a drape of honor"" in this painting, George A. Smith in Nauvoo wears a dark coat and trousers, which was not yet termed a suit. But his finest piece of apparel is his enormous, stiff hat on the chair beside him. Made of micro-split straw, it gives an elegant texture and boasts a wide ribbon around the crown. This full-length profile portrait was by Maudsley, who painted every detail of portraits in high quality folk art style, and almost always in profile.","Sutcliffe Maudsley, gouache on paper, 1844, owned by Church Archives and seen online."
188,GermanBlacksmiths.png,GermanBlacksmiths_thumb.png,1865,1875,men,costume,German blacksmiths,wear leather aprons and tight caps. Their shirtsleeves are rolled up in the heat.,Source lost.
189,GermanBoy.png,GermanBoy_thumb.png,1800,1900,child,costume,A German boy in America holding a bundled baby.,"A country boy holds his little sister who is in a special bundling wrap. It is a piece of stiffened quilted fabric reaching from behind the baby's head, down and over her feet, and returning in front to the baby's chest, It ties around the baby by ribbons in at least three positions. The boy wears a Tyrolean felt hat with the usual feather and flowers in the band. His shoulders have lederhosen straps over his linen shirt.","German festival advertisement in Utah, long lost."
190,GermanImmigrantBoy.png,GermanImmigrantBoy_thumb.png,1840,1850,child,costume,German immigrant boy of a well-off family could wear a fine suit with decoration of frogging cords on his jacket. 1840s-50s,"With a small plume in his pudding felt hat, this boy held a pair of gloves and wore flat-heeled fancy slippers over cotton stockings. He also had an expensive plethora of buttons down the sides of his trousers. Usually their mothers could make their best clothes for Church.","by Carma after the painter Klepper, in Europaische Modenzeitung,A German fashion magazine of the past."
191,GermanImmigrantGirl.png,GermanImmigrantGirl_thumb.png,1850,1860,women,costume,German immigrant girl very comfortable in a short shoulder shawl and matching summer dress. 1850s-1860s,"Pretty double ruffles on a girls shawl matches her summer dress. This ensemble with wide sleeves allows white, puffed, batiste engageants to extend to her forearms from underneath the flaring sleeves.. Broiderie anglaise is tightly ruched around the girls face, releasing her dark ringlets.","Drawn by Carma; style from ideas in Der Bazaar, an obsolete German fashion magazine. 1861"
192,GermanLDSImmigrants.png,GermanLDSImmigrants_thumb.png,1840,1890,family,costume,"German LDS immigrants to Salt Lake City, UT, waiting for admission to America through Castle Garden, New York. Late 1840s to 1890s","Most men wear caps or hats. Women wear a head scarf or a fitted embroidered cap from a province of Germany. The little girl in front wears a flat hat over her braided hair. Most women have shawls, some of which assist in carrying their babies. The man standing on the platform in the checkered shirt and over-the-knee boots is one of the adjudicators with officers behind him checking papers. Little boys and girls wear many different kinds of hats. A young woman seated on the platform has on wooden shoes, with possibly colored woolen stockings.","This 1800s ink print was purchased in an antique store in Salt Lake City, Utah. A label on the suitcase pictured in center front identifies the immigrant as going to ""Salt Lake."""
193,gingham.png,gingham_thumb.png,1830,1840,women,costume,"Gingham work dress of beige and red, ca.: 1840s.","This gingham work dress is an exact reproduction of an original from the 1840s that has dropped shoulders seams, comfortably narrow, bias cut sleeves and a front bodice opening with hooks. On the left side of the bodice, with the stripes precisely matched, is a sturdy, deep, bound, pocket to hold spectacles. The apron is heavy beige cotton with irregular, tiny, black stripes. Her red petticoat, showing beneath her lifted hem, shows quilting of the wide hem to provide fullness. Over the dark mannequin's head she wears a tied neck shawl plus a very cheap straw hat. This dress has been shown in an LDS film about Jane Manning James, and has been modeled in Carma's numerous fashion shows by Fiona Smith, of London England. It was Sewn by Carma in exact copy of a semi-destroyed dress which had a spectacles pocket in it. Carma obtained cheap $1 per yard plaid gingham made in India, exactly as residents in Mormon Nauvoo, Illinois, would have obtained such cheap cotton fabrics from the same place, exported from India to the western world.",Sewn and Photo by Carma; free use.
194,girlInDress.png,girlInDress_thumb.png,1800,1890,women,costume,A little girl takes lunch to her father during the farm's haying time.,"#?, a small girl takes lunch to her father during the farm's haying time. She wears a wool plaid dress with short sleeves and white pantalets. Her all-over apron is curved up the back to one button at the neckline. A wide-brimmed straw hat is always welcome to a farm girl. Her father with a hand-made wooden hay rake wears only one suspender. Because suspenders were not joined in center-back as modern suspenders are, one suspender could break and be set aside for repair while the other could still hold up the trousers for the day.","The girl is Lana Higbee. Father model is Ron Reed, Clothing by Carma. Photo by Wayne Keys"
195,girlLaced.png,girlLaced_thumb.png,1830,1840,women,garment,Shoes: Ribbon-laced slipper and ankle high girls or womans bootee with a small stacked heel. 1830s-60s,"This slipper has a distinctly right-foot sole of later1840s. Only one little childney-shaped layer of cow hide (top) is glued on as the slipper' heel. Bootees were made in many variations of leather with buttons, inset elastic, or fancy ribbon rosettes in front. Bootees might have embroidered edges or contrasting bindings to highlight pretty buttons. A low 1 inch hard leather heel added interest.","Drawn by Carma from suggestions by Eunice Wilson, A History of Shoe Fashion, (New York.) Theater Arts Books, 1969). Free use."
196,girlsDress.png,girlsDress_thumb.png,1830,1840,child,costume,"Girls dress and pantalets. Little Julia Murdock Smith was adopted as a baby with her twin brother by the Joseph Smith, Jr. family, ca.: 1830s.","Julia Murdock Smith is shown here with loving Emma Smith at about age 7 or 8. Julia wears a dress called the French ""infant"" [say ahn-fahn] style with gathers across the chest, a set-in waistband, and another secure band at the top of the gathers at the shoulder area. She has short, puffed sleeves and four tucks on the hemline for lengthening as she grows. Her white pantalets are edged with Ayrshire embroidery, and her stockings should be white, commercial, cotton knit in her one-strap shoes. Her mother, Emma's, dress has bouffant sleeves at the top and diagonal pleating across the corsage of the bodice. The solid blue and flowered stripes alternate in a beautiful example of 1835 fabric. On April 30, 1831, Emma Smith lost her own premature baby twins in death. The same night, Julia Murdock died giving birth to twins. Following all this grief, John Murdock gave his twins to Joseph and Emma, who wanted to adopt them. The Murdock twins were a balm to Joseph and Emmas broken hearts and John was assured of his childs loving care.","This painting by Lynde Madsen Mott was completed with Carma's advice just in time to be used as the cover picture on a biography of Julia by a descendent, John Murdock, in the 1990s."
197,girlsDress1.png,girlsDress1_thumb.png,1830,1840,child,costume,"Little girls white dress of fine muslin with much tucking, ca.: 1840s","A cool white dress for summer made in the 1840s with elaborately tucked skirt and inserted lace in sleeves and once around the skirt. This is all in fine hand stitching. Although called a ""christening dress. it is actually large enough for a 3-4 year old in pioneer times.",Salt Lake City DUP Museum. Drawn by Margaret Weber.
198,girlsGreenDress.png,girlsGreenDress_thumb.png,1830,1840,child,costume,"Girl in yellow dress with closely pleated sleeves in upper arm wears golden chain jewelry, and holds her doll. Ca.: 1839.","This girl of wealth holds her hand-carved wooden doll. She has a slight v-shaped waistline, and sleeves with poufs and wide cuffs. Her long pantalets have tucks and edge lace over black slippers. The flat-woven carpet with wild designs was much in fashion in the early1800s.","Artist John Brewster of Connecticut was quite uninformed on fashion rules. As a folk artist, he did not paint her face young enough for her to be playing with dolls, and he makes her skirt much too long for an young girl. Seen in American Heritage April 1960."
199,goldMiner.png,goldMiner_thumb.png,1840,1850,men,costume,"Gold miner husband is welcomed home, ca.: 1849-55.","Because gold mining was dangerous, the emotion at welcoming home a beloved husband and father from California is very high. The returning husband is wearing a red wool shirt common among all working men of the time. His leather hat, stick and bedroll are dropped on the ground behind. For his son's safe return, the old father gives thanks to God. He wears a dark coat, light trousers and has a crutch. His generous straw hat has a curled brim with a black ribbon around the crown. The happy wife wears a white summer dress with black apron, white stockings and black slippers. Her mother and sister have brown and blue dresses. The older mother's, all-over apron is of print cotton, and she wears a day cap. Two small child crowd around, the girl in a dark print dress and her bonnet falling off. We can barely see the narrow brim of the boy's hat.","Painting by Everett L Millard, loaned to The Forty-Niners (Seen in Old West Time-Life Series)1974 and 1980. (Carma unable to locate owner.)"
200,GrandmaElse.png,GrandmaElse_thumb.png,1840,1850,family,costume,German Grandma Else Marie Jacobsen & two granddaughters. 1840 on,"Though this is an 1876 picture, it is doubtful that Grandma Jacobsen would be wearing anything different than in earlier years. Many Europeans, as this middle-class German women, did not wear caps on their heads at all times. They were comfortable with a simple small shawl or kerchief over the hair most of their lives. She has a large dark apron as well as a dark skirt, but they would never be of the same fabric. She is wearing her apron in typical Scandinavian style of wrapping the strings around the back and tying them in front. With her are two grandchild, Mary and Amalia Mortensen. It is documented that Mary grew up and joined the Mormons, and probably her little sister did too. But Grandma never joined the Church. Little Mary is seen in a plaid dress of sturdy cotton with four buttons down the front of the bodice and a sheer white apron which has little ruffled straps over the shoulders. Her hair is smoothly pulled back, and she seems to be wearing a very small cap. By 1876 her boots are laced high on her ankles over best white stockings. The baby girl has to have a bib and wears a dress of a different plaid than her sister.","This picture of ancestors is courtesy of Maurine Ward, a past editor of the Ensign magazine, Salt lake City, Utah."
201,greyWool.png,greyWool_thumb.png,1830,1840,women,garment,"Grey wool cape on a wall peg for Lucy Mack Smith, 1830sand 1840s.","Mother Lucy Smith's cape hangs on a wall peg in a historic display. On the collar is a banding of pearl grey wool around grey velveteen. The velveteen also outlines the pretty shape of the arm slits where hands and arms can reach through without losing the warmth of the cape. A grey, silky, inside lining has tiny grey checks.","Displayed in the Manchester Township, New York home of the Joseph Smith, Sr. Family Historic Site. In this image, the corner of a spinning wheel is temporarily crowded near the cape. Design, sewing, and Photo by Carma; free use."
202,GudmunderGudmundsson.png,GudmunderGudmundsson_thumb.png,1840,1860,family,costume,Gudmunder Gudmundsson,"Gudmunder Gudmundsson, goldsmith from Iceland in Denmark and his wife (in later years) Marie Garff",No source
203,gusset.png,gusset_thumb.png,1800,1860,men,pattern,Sewing diagram of the inside around the waist on each side of the center back seam and up to the waistline gusset.,"Inside of waistband shows inside seams of trousers, muslin pockets hanging down, and two buttons inside the back to fasten onto separate suspenders. In center back waistline is a bias cut triangle, a single layer of cloth, roll-hemmed, to let out or cinch in by means of a tiny belt sewn onto the outside. These trousers could be taken in for a more slender man only by the side seams at the top, and down to the lower hip.",Watercolor sewing diagram by Carma
