id,image,year_from,year_to,pdf,person,class,clothing,caption,description,source
222,0247_image.jpg,1830,1839,1830-1839,children,middleupper,garment,"Infant or toddler boy dress for Joseph Smith III, ca.1834","High-quality cotton is dotted with tiny rosebuds of orange and red on beige background. This is the typical infant style of dress with a set-in waistband and gathers across the chest. There is a straight grain binding of the same fabric across the neckline and over the shoulders. Very short, puffed sleeves are gathered-in at the lower edge by a narrow facing. Both boys and girls wore dresses until age 4 or 5 to make potty functions easier.","Dress for Joseph Smith III, was made by Lynde Madsen Mott to use in an oil painting. Photo by Carma; free use."
223,0196_image.jpg,1830,1860,1830-1839,children,middleupper,garment,"Toddler undershirts, ca.1830-1860.",Left: A child's small cotton shirt of soft muslin with lace around neck and armholes on a tiny yoke which opens in back. This shirt design must have been widely repeated among wealthy children in the 1800s. Right: Toddler cotton shirt with half-length flat sleeves and underarm gussets. Drawstrings gather the back and front across the neck openings. Necklines were wide on purpose to show darling little shoulders.,"Left shirt was from a Connecticut collection of Winifred Bowers of New York City. Carma recognized the design was like the one in the American costume book by McClellan, 1937, Drawn by C.W. Trout. Given to Carma by Bowers, it was later donated to the Brigham Young University Fine Arts Historical Clothing Collection. Linen shirt on right was drawn by Carma after C.W. Trout, artist in Elizabeth McClellan, History of American Costume1607 -1870, Tudor Publishing Company, (New York, 1937 ). Free use."
224,0127_image.jpg,1800,1899,1830-1839,children,middleupper,shoes,"Toddler shoes could be worn by boys or girls, ca. most of 1800s.","Toddler’s shoes of soft kidskin or dense woolen Denmark satin were simple square or round-toed, square-vamped best shoes held on by buttoned straps across the instep.",Salt Lake City DUP Museum. Drawn by Margaret Weber
225,0094_image.jpg,1800,1899,1830-1839,children,middleupper,hats,"1800 - on, Baby Caps.","Hand knitted or crocheted baby caps with ribbons, ruffles, and lace have not changed much through the decades.",Seen on Pinterest.
226,0164_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"Little boy with curls and a fancy collar, ca. 1830s.",This lovely boy has a wide collar over his black dress. A wide ruffle with an edging of narrow lace surrounds the collar.,Seen on Pinterest. Public Domain
227,0165_image.jpg,1830,1839,1830-1839,children,middleupper,costume,Boy with doves during the 1830s.,"The boy has a dark blue satin dress with his shoulders are exposed, a favorite style on little children. A white lining or undergarment shows at his neckline. He has short cap sleeves. A belt or sash of black gathers a short skirt. It is unlikely that he wears trousers, as parents found it convenient for toddlers to wear pantalets – which were separate legs attached only at the waistline front and back with buttons or ties, and with no crotch covering. It was easier to change diapers, and easier to help the child learn potty training. (See pantalet design below, pg. 105). This Spanish child lives in relative wealth, with tame doves on the steps near an outdoor urn.","Seen on Pinterest, Yorck Project. Public domain."
228,0208_image.jpg,1830,1839,1830-1839,children,middleupper,costume,A sister and brother both wear dresses. Boys wore them until about age 4 to 6 when they were old enough to handle trousers for potty functions. Ca. 1830s.,"The boy’s coat-dress has the leg-o’-mutton sleeves of the decade over a white blouse with a wide neckline and a 2-3 inch ruffle. There is obviously some sort of belt to gather in the waistline. His pantalets are plain white, separate leg coverings that button or tie together only at the waistline front and back. (See pantalet design below under girls’ underwear). The wide hem of the pantalets allow for lengthening as he grows taller. He has a little dog on wheels as a pull toy. The sister wears a bold, saffron-yellow dress, also with a wide neckline, and the full, puffed sleeves of the decade. The bodice has black edging to match the black double trim on her skirt bottom. A narrow belt surrounds high waist. She also wears pantalets, but with a bit of trim above the ankle. The trim provides a point for pantalets to be lengthened as she grows taller. Her shoes are bold orange, and she holds her doll.","Found on Pinterest, from connerprarie.org"
229,0261_image.jpg,1830,1839,1830-1839,family,middleupper,costume,"A father with his children, Ca. 1837","While the dresses for the girls are indistinct, the boy wears a common boy’s outfit for the decade. A waist-length jacket of blue has sleeves gathered at the top that narrow toward the wrist, just as his father and sisters would wear. The lapels are notched, but show no buttons. The collar of his white shirt shows over the jacket collar. His trousers are buff-colored, and we see the brim of his hat on the floor beside his knee. Father wears a lightly striped coat of buff a little darker than his trousers. His lapel has a deep V. A little of his patterned waistcoat collar is visible over his white shirt. He has a black cravat and extended sideburns. The toddler on the left might be boy or girl, but wears a kneelength dress with full, gathered sleeves and dimly visible pantalets. The little girl has a rather large, woven-straw hat with yellow sheer ribbons. It could easily be her mother’s. She clasps her doll with one arm.",From the Yorck Project. Public Domain. Found on Pinterest
230,0252_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"Portrait of the children of Josef Kriehuber, dated 1836.","Both boys are dressed in the common clothing of middle and upper-class boys of the decade. Blue, waist-length jackets have lapels and narrow leg-o’- mutton sleeves gathered at the shoulder seam and narrowing at the waist. They have small coat buttons. Their shirts are white under light yellow waistcoats, and their trousers are buff and strap below the shoe, as does their fathers’. The girls’ dresses are white with wide necklines that expose their shoulders above short, puffed sleeves. The girl on the left wears pantalets and hugs her doll. Both girls have hair curled into short ringlets. Everything in this portrait has a yellow cast, indicating it might have been done in pastels on a light gold paper.","Seen on Pinterest, marked as public domain."
231,0175_image.jpg,1830,1839,1830-1839,family,upper,costume,Women & children in a high-fashion plate of the 1830s,"The boy, probably age 8 to 10, wears a distinctive, gathered and tucked-in blouse of blue with navy or black trim. The front of that blouse or jacket has buttons down the front, and two layers of macherone collars over slim sleeves. His shirt collar is probably intended to be white. His trousers have a super-slim waistline gathered fully over his hips. Note the buttonfront of the trousers, an unusual feature in the 1830s. The trousers might be a light sage green. The boy’s hat has a wide, up-curved brim and a short crown over his curls. The girl wears a warmer blue dress to her calves. It appears to be satin, and has a waistlength cape over the top. Buttons go from the neckline to the hem, and the neckline has an indistinct ruffle or frill around it. She wears pantaloons, and carries a bonnet shaped like a jocky’s cap. Mother’s clothing includes a voluminous blue satin shawl gathered into smocking toward the elbows, and outer lace around the whole thing.",
232,0215_image.jpg,1820,1839,1830-1839,family,upper,costume,"A very brightly colored fashion plate of two women, a boy, and a girl. Only the children will be described here.","The boy wears a blue frockcoat gathered in at the waist with a belt and brass buckle. It has narrow leg-o’-mutton sleeves and rolled lapels. His waistcoat and neckerchief are red, and his trousers are gray. He wears a blue bellcrowned or yachting cap. Such headwear for boys was popular as it imitated military hats, but with an exaggerated crown. The girl wears a dress reminiscent of the Regency style of the 1820s with a high-belted waist, puffed sleeves, and flounces on the hem of her dress. Her large sun-hat has pink ribbon ties and bows on the crown. She has long gloves almost to the elbows, and darker blue slippers with cross ties like both women. The women’s gowns speak for themselves",
234,0166_image.jpg,1830,1839,1830-1839,family,upper,costume,Boys of wealth in exaggerated fashions of the 1830s.,"Two of the boys wear bell-crown or yachting caps of greatly exaggerated puffs on to. Their balloon-top sleeves go far beyond what was actually worn, as do their cinched-in waists. No boy of any age would have stood for strangling corsets. The frockcoat skirts have much gathering in the back and an inset waistband with upper and lower points. We see a red waistcoat and the shirt with ruffled yoke and neck wrapped in a gold cravat of some kind. All the boys have puffy trousers, slimming at the ankles. Such trousers are realistic in the 1830s. The boy far left wears a “skeleton suit,” a top and trousers buttoned together at the waist. He, too, has exaggerated puffed-top sleeves that would have required stuffing or stiffening to maintain their shapes. His hat is probably modeled after a Turkish cap, but is orange, more conical, and has a front bill. Two boys have long, curled hair to their shoulders. The boy in blue has feathers and ornaments attached to his cap. The author would bet money that no self-respecting lad in the 1830s or any other decade could be forced to wear such overblown and restrictive clothing. But designers could always hope to sway their fashion-conscious mothers.",
235,0204_image.jpg,1830,1850,1830-1839,children,middleupper,costume,Boy’s trousers in heavy striped cotton above white stockings and best slip-on shoes. Ca.1830s-1850s,"In grey with cream stripes for summer, these heavy, cotton, broadfall trousers were easily washable and could be smoothed out without ironing. Note: Costumers must remember there was no pressed crease down center front or back of the legs of trousers until the beginning of the 1900s.Trousers were worn by youths having variouscolored cotton or silk knit stockings. For special, dressy occasions, were likely worn with black, square-toed flat shoes were worn, as seen here.",Pattern cut and sewn by Carma for her fashion shows and teaching. Free use.
236,0206_image.jpg,1830,1850,1830-1839,children,middleupper,hats,"Peaked felt hat and typical shirt worn by a schoolage boy, ca. 1830 - ‘50.","The felt hat was shaped but is unfinished, as was worn by the poorer classes in the mid-1800s. His shirt has minuscule blue and white checks undiscernable in this image. It is a regular pullover cotton shirt of the times.",Shirt made by Carma. The hat came from a secondhand shop and has only rough shaping. Photo by Carma; free use.
237,0216_image.jpg,1830,1839,1830-1839,children,middleupper,costume,A page boy in a green cap accompanies a woman in her riding habit. Early 1830s,"This young page is the lady’s messenger and servant. He has an even more unusual hat that is square-crowned rather than bell-crowned but has a front bill and ties under his chin. He wears a fairly standard short, blue jacket, green waistcoat, and ruffle-fronted shirt with a frill above his orange cravat. A little shirt sleeve shows at his wrists, and he carries a whip. His trousers are buff or white with under-shoe straps. The Lady’s riding habit is usual with a tiny waist, and huge balloon sleeves dropped over her shoulder. She has the usual extra-long hem that will modestly cover her feet as she rides side-saddle. What is unique is that she wears trousers under her skirt, a smart feature this author has never seen illustrated before. They even strap under her shoes. She wears the usual top hat with a veil, and her hair froths with curls to below her ears. A wide, velvet, bodice opening shows a fancy blouse beneath, with a multi-colored cravat held by a broach. Also unusually, she has no gloves.","Seen on Pinterest, Children's clothes 1830"
238,0186_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"Two tattered boys from the play, Oliver Twist.","Boy on left wears a captain's cap, an overlarge sweater vest, a shirt large enough to required rolled-up sleeves, and fingerless gloves. A kerchief ties around his neck. Full-hipped trousers narrow down to his ankles and high-topped shoes. Boy on right has a torn top hat over a shredded men’s tailcoat and trousers ripped off above the ankle. A long, men’s waistcoat is tied in with a bright scarf at his waist. Under his tailcoat sleeve, hanging over the wrist is an extra sweater in brown to help keep him warm. He also wears a kerchief knotted around his neck. Their shoes are a little too perfect for urchins of the 1830s.Boy on left wears a captain's cap, an overlarge sweater vest, a shirt large enough to required rolled-up sleeves, and fingerless gloves. A kerchief ties around his neck. Full-hipped trousers narrow down to his ankles and high-topped shoes. Boy on right has a torn top hat over a shredded men’s tailcoat and trousers ripped off above the ankle. A long, men’s waistcoat is tied in with a bright scarf at his waist. Under his tailcoat sleeve, hanging over the wrist is an extra sweater in brown to help keep him warm. He also wears a kerchief knotted around his neck. Their shoes are a little too perfect for urchins of the 1830s.","Costumes by Sarah Nash, U of Washington. Styles ca. 1830-40."
239,0207_image.jpg,1830,1880,1830-1839,children,middleupper,shoes,"Boy's flat shoes with silk ribbon ties, ca. 1830s to 1880s",An amalgamation of common forms of dress shoes for boys. Could be any color of leather depending on the economic status of the boy. Such shoes could also be bought by the poor at secondhand clothes fairs and tied with heavy string.,Drawn by Carma; free use.
240,0235_image.jpg,1830,1860,1830-1839,children,middleupper,garment,1830s-60s woven and simplified longjohns.,"The opening in the front would be buttoned or fastened with hooks. Notice the rear flap, just showing from the back, which unbuttons so the child can use the facilities.","Drawn by Carma from an antique pair belonging to Henry Augustus Thompson of Charlestown, MA."
241,0185_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"Girl’s dress and pantalets. Little Julia Murdock Smith was adopted as a baby with her twin brother by the Joseph Smith, Jr. family, ca. 1830s.","Julia Murdock Smith is shown here with loving Emma Smith at about age 7 or 8. Julia wears a dress called the French ""infant"" [say “ahn-fahn”] style with gathers across the chest, a set-in waistband, and another secure band at the top of the gathers at the shoulder area. She has short, puffed sleeves and four tucks on the hemline for lengthening as she grows. Her white pantalets are edged with Ayrshire embroidery, and her stockings should be white, commercial, cotton knit in her one-strap shoes. Her mother, Emma's, dress has bouffant sleeves at the top and diagonal pleating across the corsage of the bodice. The solid blue and flowered stripes alternate in a beautiful example of 1835 fabric. On April 30, 1831, Emma Smith lost her own premature infant twins in death. The same night, Julia Murdock died giving birth to twins. Following all this grief, John Murdock gave his twins to Joseph and Emma, who wanted to adopt them. The Murdock twins were a balm to Joseph and Emma’s broken hearts and John was assured of his children’s loving care.","SOURCE: This painting by Lynde Madsen Mott was completed with Carma's advice just in time to be used as the cover picture on a biography of Julia by a descendent, John Murdock, in the 1990s."
242,0272_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"A little girl in a pelisse enters a church, greeted by the church’s old gravedigger in a smock. Ca. 1839.","A pelisse of white is worn over a dress of pink by a girl of five. The side-fronts make a V-shaped design. A squared collar reaches out to mancherons (ornamental flares lying over the upper part of a sleeve) that extend over her leg-o’-mutton sleeves. Her skirt is full and longish for warmth. The moppet wears a silk bonnet and carries a red reticule. Her bright youth contrasts with the old man in a dark work smock, who may have been digging a grave in a church yard. Compare their age, size, clothing color, and experience with the worlds of life and death.","SOURCE: Detail from painting: The Contrast, Youth and Age by John Callcott Horsley in 1839, Original in Victoria and Albert Museum, London, England; public domain copies online."
243,0271_image.jpg,1830,1839,1830-1839,children,middleupper,costume,Girl in a yellow dress with closely pleated sleeves in upper arms wears golden chain jewelry and holds her doll. Ca. 1839,"This girl of wealth holds her hand-carved wooden doll. She has a slight v-shaped waistline, and sleeves with lower poofs and wide cuffs. Her long pantalets have tucks and edge lace over black slippers. The flat, woven carpet with wild designs was much in fashion in the early1800s.","SOURCE: Artist John Brewster of Connecticut was quite uninformed on fashion rules. As a folk artist, he did not paint her face young enough for her to be playing with dolls, and he makes her skirt much too long for a young girl. Seen in “American Heritage” April 1960."
244,0243_image.jpg,1830,1839,1830-1839,children,middleupper,costume,Portrait of a girl in a gray dress from 1834.,"This pretty child wears a gathered-waist bodice (rather than fitted) with a black belt and brass buckle barely seen below her flowers. The flowers may be tucked into the belt. The leg-o’-mutton sleeves are very full, descending from a dropped shoulder seam. It is likely sleeves this full may have some sort of ruffled lining or stuffing to hold them out. Her sheer white collar shows the red kerchief tied beneath it, tied in a plain front knot. Her hair is gathered on top, and she has small silver-ball earrings. A gold watch sits on the table beside her.","Seen on Pinterest, from the Yorck Project. Public domain."
245,0270_image.jpg,1838,1839,1830-1839,children,middleupper,costume,"Young girl's frock with matching pantaloons, 1838.","This burgundy dress has thin, darker, diagonal stripes throughout. The upper sleeve seams are dropped a few inches, where two ruffles or puffs flare out over slim lower sleeves. The sleeves cover her hands to the knuckles. Her collar of taupe lace may be detachable. The pink bonnet has ostrich feathers on one side, and her lower hair is caught in a snood underneath. Her self-belt has an fabric ornament or bow on one side. We see it is a winter dress, as fur hems her full skirt and her matching pantaloons. Her footwear is a pair of matching, square-toed booties (seen pg. 104) with heavy fabric tops and leather toes and heels.","Seen on Pinterest, from World of Fashion Dec. 1838."
246,0163_image.jpg,1830,1839,1830-1839,children,middleupper,costume,"A brother and sister from Austria, ca. 1830.","The girl’s clothing varies only slightly from its British and American counterparts, having the same full sleeves on a dropped upper-sleeve seam. The fabric is semi-sheer, showing an under-slip or chemise of white. The collar is large with wide-spaced points Below a wide, white sash is her blue, pleated skirt. Her hair is center parted, and pulled back, probably into a braid. The brother’s shirt is quite unique, however, looking more like a Cossack blouse than his father’s shirts. It is pale peach with brown edging around the neck and down one side of the front. A brown belt gathers it in at the waist. Unusually comfortable! His hair hangs straight from the center crown all around, and is cut straight into bangs, and straight around his head at lower ear level.",From Hermitagemuseum.org Public Domain.
247,"[0199_image.jpg, 0205_image.jpg]",1820,1850,1830-1839,children,middleupper,costume,"Girls’ footwear, 1820s to 1850s.","Top bootie is made of a tough prunella or kidskin across the arch and anles, with leather or patten toes and heels over a thin sole. It laces on the inside of the ankle Left – a slipper with cross-straps over the instep, common for both girls and women, and often with a very pointed toe or with a square toe. Left child pantalet is long and gathered around the ankle with a ruffle extending below. Right – a slipper with an ornament or bow on the top, and striped stockings. Some slippers had very pointed toes, others had square toes. Lasts to form shoes were identical for both feet, with no right or left shoe. This pantalet is straight with rows of tucks and lace at the bottom. In the right sizes, it could be worn by girls or women.",Drawn by Carma. Free use.
248,0126_image.jpg,1800,1890,1830-1839,children,middleupper,costume,Child’s Pantalets in two legs buttoned at the waist with open crotch. Same general design for women. 1800 on.,"Throughout the 1800s on, children’s pantalets were two separate legs buttoned or tied at the waist in front and back. They often had decorations at the lower edge. On this pair, a horizontal tuck around the hips allows for lengthening as the child grows. Horizontal hemline tucks are added here for décor and for more lengthening with growth. An open crotch was convenient on infants and toddlers for changing diapers or potty training without disrobing the entire child. Women wore the open crotch design to facilitate personal functions while the upper body was bound with chemises, corsets, dresses, and other layers over the chest, as well as petticoats and sometimes hoops that must be held aside below the waist.",SOURCE: Made for toddler model Brianna Todd for fashion shows. Sewn and Photo by Carma; free use.
249,0232_image.jpg,1830,1850,1830-1839,children,middleupper,costume,Connected bodice and drawers for a little child of age 3 to 4. Ca. 1830s-50s,"Both girls and boys might wear this joined set of underwear. Top and bottom button together around the waist, but you can barely see the plackets on both sides below the waist that allows the back section to be unbuttoned and lowered, while the front stays together. These differ from pantalettes in that they have a crotch piece, and thus must be unfastened and lowered for potty functions.",From Godey’s Lady’s Book.
250,1047_image.jpg,1847,1849,1840-1849,men,working,costume,Common hats and shirts on “Raftsmen Playing Cards” as they travel the Missouri River in 1847.,"This close-up detail shows man seated on floor and the man standing in the middle wearing large straw hats with curled brims and rounded crowns. The man in the red shirt has a fine, wide, curled brim on a beige felt with a squared crown; the man poling behind him wears a small felt hat, rather squashed. Two other men in front have a knitted cap and a battered, black, broad-brim with a rounded crown, purposely dented on the sides. Their shirts and pants are common and worn, but in many colors, some with suspenders. One pair of pants seems to be an early “Levi jean” rolled up at the cuff. Only one man wears a vest, proving these men to be very common and casual.","SOURCE: The artist, George Caleb Bingham, lived on the river since childhood and painted much of its shifting emphasis on the history of the nation, He reveled in the mixture of various ethnicities found along this gigantic feature of America’s cultural geography. George Caleb Bingham, American, 1811-1879, Raftsmen Playing Cards, 1847, oil on canvas; 28 1/16 x 38 1/16 inches, Saint Louis Art Museum, Bequest of Ezra H. Linley by exchange 50:1934. Found frequently online."
251,0128_image.jpg,1800,1890,1840-1849,men,working,costume,The Farrier who puts shoes on horses was a much needed man in the 1800s and for many centuries before.,"A blacksmith who shapes and attaches horseshoes must wear a leather apron to protect from the heat and sparks of his forge and hammering. Usually the apron ties around both waist and neck, but this man’s neck strap seems to have broken. Cleverly, he hooks one of the strap holes onto a vest button until he has time to repair it. His shirtsleeves are rolled up, but he still wears a proper vest and neck kerchief. Going without a vest and neckwear was tantamount to working in one’s underwear since the shirt was often a nightgown as well. In a hot forge, he could do without a hat.","SOURCE: W. H. Pyne, ""Microcosm."" Free use."
252,0374_image.jpg,1845,1849,1840-1849,men,working,costume,"Common work clothing from painting, Dance of the Haymakers by William Sidney Mount, ca. 1845.","Full view of the clothing of a young laborer, enjoying his time-off to dance to violin music played among the Mount family and their workers. He wears pin-striped broadfall trousers that have 5 small buttons up from the ankles, which could open over large boots. Here he dances in supple oxford shoes and a very light-weight coat of reddish cotton or wool lined in cheap silk. His tucked in pullover shirt has a completely unbuttoned placket. (Shirt openings for all classes in that era did NOT open to the waist or the hem, as today, but only to 3 to 4 buttons from the neck.) Fairly short hair is covered by a horizontally striped, knitted cap of navy and red. He has a chin line beard.","SOURCE: William Sidney Mount, a prolific painter of rural America. Original in Suffolk Museum at Stonybrook, New York. Often seen in full and in part online."
253,0375_image.jpg,1845,1849,1840-1849,men,working,costume,A gravestone cutter wears his white work sleeves rolled up with an old wool vest and high-waist trousers. ca. 1845.,"Multi-talented Hugh Miller is carving a gravestone with a chisel and stone hammer. His heavy woolen broadfall work trousers were likely lined with durable muslin, and are high-waisted. Hugh’s high cut vest is much wrinkled and mostly unbuttoned. His hair looks like a typical redhead’s curls. Short whiskers reach to the corner of his mouth and under his chin. Hugh was actually a geologist, stonemason, paleontologist, folklorist, artist, and writer born in Cromarty, Scotland. Though an editor in Edinburgh at the time of this calotype, he chose to have his common work clothing photographed by Hills and Adamson. Though a self-taught and much-admired geologist, Hugh finally moved to Edinburgh where he became editor of The Witness to express his deep Christianity. Fearing that his increasing migraines and psychotic episodes might cause him to harm wife or children, he committed suicide in 1857. Scotland mourned his passing.","SOURCE: Taken by David Bruce and David Octavius Hill, original creators of calotypes of the 1840s. Also seen online."
254,0278_image.jpg,1840,1849,1840-1849,men,working,costume,A wagon driver transported goods and foods from east to west in America throughout the 1800s. This outfit is ca. 1840.,"This teamster or muleskinner wears grey wool trousers, mended from wheel snags, and patched upon patches from harsh wear. Tough mid-calf boots have square toes. Separate leather suspenders (or braces) have some India rubber elastic in back. His thick, beaver, felt hat goes through rain, snow, or sun without collapsing. A husky wagoneer was a backbone of rural America, carrying goods and foods, lumber and people, between farms, cities, camps, and to the riverboats. An 1815 textile pattern book for looms provided his shirt's handsome 1815 checked design favored throughout the 1800s. It is cotton and linen, handspun, hand-dyed, hand-woven, and hand-sewn, with a large yoke and wooden toggles for buttons.","SOURCE: Reproduced docent clothing for the LDS Museum of Church History and Art. Shirt fabric woven by Miss Rabbit Goody, who established the Thistle Hill Weavers in New York State. Designed by Carma; leather suspenders were artfully constructed by Dennis Rowley of Pleasant Grove, Utah. Photo and permissions from the Ensign magazine. Wallace Abrams, model."
255,0006_image.jpg,1840,1849,1840-1849,men,working,costume,"A drunken man tries to climb a fence, losing both his liquor jug and his hat, ca. 1847.","In this clothing detail of the 1847 W. S. Mount painting, Liquor Loss and Gain, we see the result of habitual drinking on an older man who loses the dearly loved stuff that has made him clumsy and careless. He wears a half-buttoned pull-on shirt, trousers torn at the knee and frayed at the hem but held up by beige suspenders, and clutches the brown and red vest he has shed. He wears no stockings in his square toed shoes. His hat might be felt or straw, and has a red bandanna stuffed inside as it falls. In his inebriation, he has obviously taken no care for his appearance in some time. Mount’s opinion of drinking was expressed to a friend: “….To come square to the point with you my dear friend–I must tell you that liquor drinking is a nuisance….Drinking causes one to be stupid, and to lose ambition about business, and indifference about personal appearance….As for myself, I have drilled my will power so, for the past year–that I can sit and look at bottles without any inclination to drink.” — William Sydney Mount, Letter to James Baxter, April, 1857. — (Image and quotation from: http://www.aaqeastend.com/content/william-sydney-mount-american-genre-painter/ )","SOURCE: David Cassidy and Gail Shrott, Janice Gray Armstrong, Ed. William Sidney Mount, Works in the Collection of The Museum at Stony Brook. (The Museums at Stony Brook, Stony Brook N.Y. 1983). Also seen on the internet."
256,0298_image.jpg,1840,1849,1840-1849,men,working,costume,"Drawing of a naturalist in a smock as he collects herbs in his cylindrical carry-all, ca. 1840s-50s.","This scientist with long sideburns is outdoors a great deal in his straw hat with a line of ribbon around the crown. His neckerchief can keep him warm or wipe his brow when weather is hot. The smock is both coat and raincoat over other clothes. He does his collecting primarily in warm weather, then takes herbs home to categorize and dry for study and medicine. His tough trousers are strapped under his flat shoes to keep them in place as he tramps through all terrain. His shoes have sturdy toe caps to prolong wear.",SOURCE: From the cover of a modern notebook of paper. No source given.
257,0699_image.jpg,1840,1849,1840-1849,men,working,costume,1840-1870s. Lumberjack stands beside a tree larger in diameter than he is tall. Red woolen shirts were preferred for outdoor work.,"In the mid-1800s, a lumberjack stands beside a tree larger in diameter than he is tall. Red woolen shirts were preferred for outdoor work. His black felt hat helps keep sawdust out of his hair and neck.","SOURCE: Detail of ""Logging in the Minnesota Forests"" by Franz Holzhuber, in American Heritage Magazine, June, 1965."
258,0698_image.jpg,1840,1849,1840-1849,men,working,costume,A lumberjack and supervisor in woolen shirts direct logging in the US Minnesota forests. Mid-1800s.,"A lumberjack supervisor directs logging in the US Minnesota forests. He wears a typical red wool shirt with a white shirt beneath. His tan wool breeches tuck into high boots as he holds a red flag to signal workers in the forest. The man in front wears a heavy, blue, wool, double-breasted jacket. Both have brown or black felt hats and natural, medium length beards.","SOURCE: Detail of ""Logging in Minnesota"" by Franz Holzhuber, in American Heritage, June 1965."
259,0565_image.jpg,1840,1849,1840-1849,men,working,costume,Apothecary in apron working with his scales. 1840s.,"This druggist wears small round spectacles to see exactly what he is doing or to read his formula books. His coat is well fitted in the body with narrow sleeves. A pale cravat is knotted around his neck. His apron loops around his neck and is tied in back. It was probably a starched white cotton twill to appear neat and protect his clothing. As a balding man, he brushes his hair forward.","SOURCE: Grafton-Carol Belanger Grafton, Ed., Trades and Occupations: A Pictorial Archive from Early Sources (Dover Pictorial Archive) Paperback – August 1, 1990, illustration 761. This excellent book of common people doing everything is fabulous! 10 images from this book are free for use."
260,0300_image.jpg,1840,1860,1840-1849,men,working,costume,"Gardener with a child, 1840 to 1860.","This American gardener wears heavy shoes and long trousers to protect his legs. Various shirts and sweaters warm his torso, with a kerchief tied around his neck. His coat is shapeless and shabby over a long apron which covers from chest to his shins. A single-billed cloth cap has a tied-up flap over chopped of hair. He smiles below his mustache. A gardener could wear anything he wished, but saved his best clothes for Sunday Church. In one hand is a wooden rake with wooden pegs for tines, and a large watering a can in the other. A little girl of the house holds a potted plant to help. She wears a full-sleeved dress and an all-over apron tied in back.",SOURCE has been lost.
261,0641_image.jpg,1846,1849,1840-1849,men,working,costume,"Ca. 1846. Men's work clothing as a detail of a large painting, Defense of Nauvoo,","A detail of a very large painting called Defense of Nauvoo shows four men in working clothes preparing to defend their city from its final, destructive mobs. The man far left cleans his rifle while wearing a blue barn coat and tan trousers with a pale straw hat. The next man wears a white linen or cotton shirt with gray trousers tucked into his boots. Next right is a man in a brown vest over his white shirt, with brown trousers and another rifle. The man far right in the typical red work shirt of light wool flannel over brown trousers has a powder horn slung over his shoulder. Of headgear, the two on the left are fairly flat straw hats, while the two on the right are felt with higher, rounded crowns. This example of C.C.A. Christensen's series of 10 paintings (each about 8 ft. by 10 ft.) was created during his winter rest times away from farming. He depicted early Mormon history and pioneers, and exhibited them in many cities of Mormons, north, and south, in the “Mormon Corridor” of settlements from Arizona to Northern Idaho. He linked the paintings together in a long roll, which was easiest for transporting. To each group of viewers in his journeys, Christensen explained his prepared story of early Mormon History. He unwound the scroll and described scene by scene from his wagon box if it was a small village. If possible he spoke in a primitive chapel or at a farmyard gathering --charging observers a small-price. Christensen’s efforts to show his arts gave him a slightly increased income through the long winters in the west and also allowed him to demonstrate his deep-seated beliefs. Authenticity of clothing in his paintings was not completely accurate or detailed, even on such large paintings. He had not, after all, seen the events himself in their time period.","The entire art Roll is now stored properly in the BYU Museum of Art, Provo, Utah. Free use."
262,0655_image.jpg,1847,1849,1840-1849,men,working,costume,"The Old Green Store, where Workingmen unload barrels of liquor while well-dressed men look on. 1847.","A carriage driver directs one boy to deliver a small barrel of spirits, while a man in a smock rolls a large barrel, probably beer, through the crowd. The driver is bursting his double-breasted coat and wears a low-crowned stiff hat. Top-hats and fine clothes are seen in the crowd. The man in the white smock wears a weathered old felt hat, while the man behind him has a large pilot’s cap.","SOURCE: Seen in Gerald Carson, Country Stores in Early New England. (Sturbridge Village, Old Sturbridge Village Inc. 1955)"
263,0646_image.jpg,1844,1849,1840-1849,men,working,hats,"Two hats from the outdoor audience at a huge LDS conference in Nauvoo, Illinois.","An extract illustration from the large folk painting, Joseph Smith Preaching in the Nauvoo Grove, 1844 (seen elsewhere).These young men wear an old felt hat and a home-made, wool, pilot cap with a blousy top. They were originally painted in color. Many of the British poor were at meetings like this, along with some wealthy families among the Latter-day Saints, and a number of Native Americans. Most attendees were converted to the LDS Church by missionaries and came to Nauvoo to meet the Prophet and hear his preaching.in the 1840s.","SOURCE: The Folk Painting, Joseph Smith Preaching in the Nauvoo Grove, has been exhibited in Salt Lake City, Utah at the MCHA. Extraction drawn by Carma. Free use."
